position_group,decoded_token,mean_pre,mean_exact,appearances,samples_seen
edge,\n,2.8738680931986593,4.026180690040394,49,5
middle,，,2.8445444107055664,4.9397101402282715,1,1
recent, distance,2.8418385982513428,1.4352340698242188,1,1
recent, Child,2.8404964804649353,14.060498654842377,4,1
middle,Answer,2.809652268886566,2.8248211145401,2,1
recent, select,2.8089094161987305,60.06607437133789,1,1
middle," ("".",2.773960530757904,4.351131081581116,2,1
middle, Shop,2.7563158671061196,3.7769269148508706,3,1
middle,Person,2.7384271025657654,5.333131313323975,2,1
recent, also,2.7298176288604736,63.59598922729492,1,1
middle, of,2.7111027240753174,5.62275505065918,2,1
middle," (""",2.6950510995728627,3.5023453746523177,7,1
middle,\n,2.6870753306608934,8.542948058018318,13,3
recent, customization,2.6604719161987305,8.259727478027344,1,1
middle, section,2.655556231737137,4.096483826637268,4,1
middle, and,2.650256872177124,24.715854358673095,5,1
recent,",",2.6353423595428467,61.13473129272461,1,1
self, limited,2.5591345354914665,9.221706785261631,7,1
recent, being,2.548778772354126,20.06144541501999,4,1
self,""")]",2.52529120019504,14.132106121097292,7,1
recent,'.,2.4832000732421875,51.949951171875,1,1
middle,三,2.457629919052124,4.860167503356934,2,1
middle,Errors,2.421655774116516,2.6266103386878967,2,1
middle,the,2.409666140874227,20.462592601776123,3,1
recent,""")]",2.3984739780426025,34.44352811574936,2,1
middle,major,2.3367745876312256,3.1678659915924072,1,1
middle,<|turn>,2.331408739089966,55.06975746154785,2,2
recent, is,2.3205790519714355,52.209434509277344,1,1
recent,Wenn,2.305451273918152,40.229665607213974,2,1
recent,\n,2.27803373336792,60.39567184448242,1,1
middle," "".""",2.2736050128936767,3.915809965133667,5,2
middle,"""]",2.272780418395996,3.300408363342285,1,1
middle, B,2.242527405420939,3.4962176084518433,3,1
middle, then,2.1493821501731873,16.651989138126375,5,1
middle, in,2.129027843475342,5.058545112609863,1,1
recent,],2.1002615094184875,31.60161280632019,2,1
middle, image,2.098618447780609,3.126637578010559,2,1
middle,"(""",2.093292098778945,17.87996933093438,13,2
middle, as,2.0684006214141846,1.4031661748886108,1,1
middle, the,2.0242378264665604,21.622083308175206,8,3
middle," """,2.0207268794377646,2.8459896643956504,6,2
middle,>,1.9721579551696777,4.0563740730285645,1,1
recent, hätte,1.926493247350057,23.983240177234013,3,1
middle,</,1.874326507250468,3.476057310899099,3,1
middle,Translation,1.8620641231536865,2.750797768433889,3,1
middle,?,1.8531779050827026,4.043558597564697,2,1
middle,In,1.7383774518966675,19.184159755706787,3,1
self, yuan,1.6956640120063509,6.620499476790428,7,1
middle,These,1.6828872958819072,2.2554587721824646,3,1
middle,根据,1.661112666130066,1.3671422004699707,1,1
self," """,1.609054105622428,18.982510071780002,7,1
recent, many,1.6014787554740906,2.512609213590622,2,1
middle,Location,1.5989346504211426,2.7791974544525146,1,1
middle,split,1.5818297863006592,3.0953783988952637,1,1
middle,minor,1.5683563351631165,2.7631260752677917,2,1
recent," [""",1.5677988529205322,42.57767105102539,1,1
recent,between,1.5572454333305359,3.3150713443756104,2,1
recent, display,1.5570963621139526,3.064739227294922,1,1
recent, gew,1.5394468307495117,0.6085929870605469,1,1
recent,I,1.5220860838890076,20.001721382141113,2,1
middle, sections,1.5202189412983982,1.9100795496593823,11,1
self,Show,1.4918033007000173,9.053685204258986,7,1
middle,-,1.4756049752235412,1.8837329745292664,5,2
recent,"(""",1.4673452377319336,1.6298056840896606,2,1
recent,Group,1.4404313564300537,2.981569449106852,3,2
middle,以,1.437848448753357,1.1875158548355103,1,1
middle, ,1.4151426553726196,0.234992116689682,1,1
middle,档,1.404069721698761,2.431511163711548,2,1
middle, pages,1.3840357214212418,1.8553740829229355,4,1
middle,Target,1.365983009338379,1.4321040511131287,2,1
recent, nude,1.3655098676681519,0.5072658658027649,1,1
self,",",1.3423352922712053,13.984343014657497,7,1
recent, default,1.3204463720321655,4.221893787384033,1,1
middle,Source,1.2420225143432617,1.675371766090393,1,1
middle," "";",1.236434320608775,2.4152197440465293,3,1
recent, if,1.2289440631866455,27.56984519958496,1,1
middle,strand,1.1790719032287598,3.026369333267212,1,1
recent, feature,1.1667959094047546,2.7377707163492837,3,1
middle, you,1.1235886812210083,2.401217222213745,1,1
middle, hover,1.0446076691150665,1.8101325035095215,2,1
middle,Besides,1.021752953529358,1.5483258962631226,1,1
middle, Report,1.0000571012496948,4.060405731201172,1,1
middle, an,0.9516705870628357,3.6617820262908936,1,1
middle, I,0.8966341018676758,2.0377612113952637,1,1
recent, Bride,0.8604317605495453,2.2241330742836,2,1
middle, Location,0.8541757464408875,1.9773210287094116,1,1
middle, :,0.7888213992118835,0.8089006543159485,1,1
middle, Israeli,0.7564569711685181,0.6178269982337952,1,1
recent,electric,0.704103946685791,1.5376445055007935,1,1
self,\n,0.4226987488745224,2.0191784458500996,21,3
self, the,0.2980294375613864,0.9778247900041086,7,1
