position_group,decoded_token,mean_pre,mean_exact,appearances,samples_seen
recent, which,3.568075992166996,1.3478078097105026,4,1
middle, yuan,3.5569633692502975,4.186505079269409,8,1
middle, die,3.539252519607544,2.4342858592669168,3,1
recent, into,3.5294302701950073,4.772688221931458,5,1
middle, Shopify,3.473146074348026,3.943168388472663,9,1
recent, settings,3.4505643248558044,1.775387853384018,4,1
recent, Child,3.441668324610766,3.106843642452184,17,1
recent,vul,3.3842570781707764,2.709930494427681,4,1
recent, additional,3.329598148663839,5.156476179758708,3,1
middle,"]"".",3.296845883131027,3.2920254468917847,2,1
recent, default,3.2835988998413086,1.3765889406204224,1,1
self,""",",3.2707305142123784,4.240528535230884,56,1
middle, classified,3.189948081970215,1.4078994989395142,1,1
recent,.,3.1238009279424492,8.29361759893822,33,3
recent, basis,3.098194340864817,3.419511536757151,6,1
recent, icon,3.0857205390930176,0.8007499575614929,1,1
middle,[,3.0489315185053596,1.8214409299965562,29,1
recent,I,3.002015617760745,2.7457668456164273,11,1
recent, ich,2.9652485847473145,1.7216278538107872,8,1
recent,netflix,2.96349960565567,5.594202995300293,2,1
recent,Target,2.960415593955828,2.927668121845826,23,1
middle,""",",2.956681489944458,5.752744328975678,10,2
middle, guidelines,2.953676462173462,1.0386042594909668,1,1
recent, the,2.948272495697706,5.804161660946333,39,3
recent, if,2.9425200053623746,9.781931962285723,7,1
recent, If,2.9294863641262054,10.171735137701035,4,1
self,""")]",2.9269668459892273,4.934187891227858,28,1
recent, gezeigt,2.8751593828201294,3.188626209894816,3,1
middle, sie,2.847535729408264,4.855484247207642,2,1
recent, kilometers,2.8359103202819824,16.526763916015625,1,1
recent, became,2.7977867871522903,4.258712686598301,8,1
middle,；,2.795433282852173,2.759422779083252,1,1
middle, <,2.7890311500855853,1.513705536723137,28,1
recent, nude,2.7460882323128835,1.4217651954719,7,1
middle, store,2.7154921690622964,1.1022215286890666,3,1
recent, subway,2.6799774169921875,16.754131317138672,1,1
self, as,2.6644084682422027,3.5321816515975764,28,1
recent,;,2.651499589284261,1.209241767724355,3,1
recent, Citizens,2.6474380493164062,2.113602638244629,1,1
recent,Input,2.64093416929245,1.0904675275087357,4,1
recent, Bride,2.640767898162206,1.9928466031948726,15,1
recent, Por,2.638456106185913,33.832725524902344,1,1
recent,-,2.6162587106227875,1.9379962086677551,4,1
recent,B,2.613877508529397,2.9057651065116703,43,2
recent, choose,2.6029173135757446,1.1830025613307953,2,1
middle, enable,2.589526414871216,2.507289409637451,1,1
recent,it,2.585473656654358,3.940115451812744,2,1
middle,O,2.578023393948873,2.375862419605255,9,2
middle, entities,2.5762169460455575,1.6430050333340962,6,1
recent, customization,2.574871917565664,5.219960808753967,3,1
recent,",",2.513446500668159,5.096679043311339,26,3
middle, of,2.5029571056365967,2.215235710144043,3,1
middle, the,2.5011301646309514,1.7408880447788584,62,4
recent, N,2.4821156660715737,1.0667413473129272,3,1
self, yuan,2.465945703642709,2.699061676061579,28,1
middle, Quick,2.454644964291499,0.8449458823754237,13,1
recent,Image,2.4449326949460164,2.7618592360189984,14,1
recent, Jahre,2.4363439083099365,1.7378470301628113,2,1
recent, und,2.415789842605591,4.756575584411621,1,1
middle,\n,2.396736476126067,3.1918258582916827,109,5
middle, known,2.392330062389374,1.8770966410636902,5,1
recent, hover,2.3669363168569713,3.498776761385111,13,1
recent,:,2.3424084186553955,0.9869290590286255,1,1
middle,<turn|>,2.310856751203537,13.655794793367386,25,4
middle, According,2.3020153045654297,0.7811089158058167,1,1
middle, now,2.2836734453837075,2.291783412297567,3,1
middle,<|turn>,2.276356828212738,2.3236834824085237,15,4
middle,Errors,2.271183490753174,0.8975702524185181,1,1
recent, she,2.253477096557617,1.958336591720581,1,1
recent,can,2.2357784807682037,2.365668624639511,4,1
recent,electric,2.227728635072708,3.4887834787368774,4,1
recent, divided,2.213213860988617,1.730859915415446,6,1
recent,ete,2.19632887840271,1.8150534629821777,1,1
recent,en,2.1958227157592773,3.964116334915161,1,1
middle," ""[""",2.161484122276306,1.5846056938171387,2,1
middle,",",2.1582673611464323,2.98025142815378,27,3
middle, google,2.1145243644714355,13.838735580444336,1,1
middle, following,2.1076624393463135,2.211092233657837,1,1
recent,Group,2.087573499515139,2.3403678022581955,29,2
recent, Beijing,2.079148054122925,25.89277458190918,1,1
middle,>,2.0743602128589855,1.8746821249232573,17,1
middle,限,2.065855599111981,2.1260583450396857,9,1
middle, Store,2.0598201354344687,1.0004188418388367,3,1
middle, saying,2.0288236141204834,1.0363450050354004,1,1
middle, secondary,2.0286030405097537,1.0731882635090086,18,1
middle,"(""",2.0134061094253295,1.4988618964149105,31,2
recent,\n,2.0113744735717773,2.002244676152865,21,2
middle,;,1.9811889628569286,1.454373339811961,6,1
middle, image,1.9638737307654486,1.119781967666414,9,1
middle,，,1.9597320556640625,1.6390022039413452,1,1
recent,was,1.9474559426307678,2.3973103761672974,2,1
self,"""),",1.9459697264911873,4.059704189321825,28,1
recent, Airport,1.923561453819275,16.493940353393555,2,1
middle,Target,1.9163823922475178,1.2379885653654734,15,1
middle," (""",1.8807648420333862,2.943496267000834,3,2
middle, theme,1.8767022609710693,3.320195734500885,5,1
middle, on,1.8672611191868782,3.680709019303322,8,2
middle,by,1.8604704141616821,1.4961042404174805,2,1
middle, to,1.8496233224868774,2.2872061133384705,5,2
recent, rail,1.841770589351654,7.72593092918396,2,1
middle, O,1.8300015568733214,0.9523372024297714,10,1
recent, also,1.8145482063293457,1.7401994436979293,10,1
recent,Can,1.8139524459838867,1.013421654701233,1,1
middle, ones,1.8128306865692139,5.999849796295166,1,1
middle, a,1.8090201291170986,1.900677544826811,11,3
middle,According,1.7829218447208404,1.32268030444781,15,1
middle,'.,1.746193031469981,3.6969102223714194,3,1
middle, may,1.742582380771637,1.9342592358589172,2,1
middle, translation,1.7413993229468663,2.6832007517417273,12,1
recent,',1.735466718673706,1.3117631673812866,1,1
middle,Translation,1.7255316376686096,2.644247382879257,4,1
recent,0,1.7163589000701904,3.179710626602173,1,1
middle,"""),",1.7043563723564148,2.8246536254882812,4,1
middle, hover,1.6978064179420471,1.0022951364517212,4,1
middle, product,1.6932100057601929,3.5155469179153442,2,1
recent,construction,1.679295226931572,2.865379959344864,4,1
middle, Line,1.661226511001587,4.431246757507324,1,1
middle, for,1.6603264808654785,2.0748794078826904,1,1
middle," [""",1.6568174213171005,0.8400607854127884,4,1
middle,?,1.649273619055748,2.3290244042873383,8,1
self," """,1.6431041051234518,2.1994041313550303,28,1
middle, section,1.6303698210155262,1.4257677811033584,17,1
recent, works,1.5979016508374895,1.3643322821174348,7,1
middle,Input,1.5778961181640625,1.0553535223007202,1,1
recent, ,1.5738279819488525,6.905075719952583,5,2
recent, feature,1.5526450077692668,1.136168510431335,21,1
middle, what,1.5454797744750977,1.551357388496399,1,1
middle,:,1.5367615558207035,1.6637389417737722,16,2
recent,],1.496552546819051,2.0998059511184692,3,1
middle, shown,1.4947437047958374,4.36297607421875,1,1
middle,3,1.488792896270752,4.3972601890563965,1,1
middle,category,1.474671483039856,0.782145619392395,1,1
middle, machine,1.4475820064544678,2.7487332820892334,2,1
self,",",1.440520168947322,2.0446998215546563,28,1
middle,minor,1.4137656092643738,1.0677272545940735,17,1
recent,the,1.4091258645057678,1.4816527366638184,2,1
middle,</,1.3591428518295288,1.6656008154153823,10,1
middle,Location,1.356600284576416,4.147963047027588,2,1
middle, and,1.337020993232727,1.3954644799232483,2,1
edge, entities,1.313626766204834,1.0496487617492676,1,1
middle, duplicate,1.3133249282836914,0.6611119508743286,1,1
middle, Collection,1.299523115158081,0.8956465423107147,2,1
self,\n,1.2900849972807227,2.128584215373156,84,3
middle, entity,1.2864081064860027,1.8010530471801758,6,1
middle,0,1.2815207839012146,0.8276032507419586,2,1
middle,Answer,1.2766936421394348,0.7963037490844727,2,1
middle,m,1.2709341049194336,0.9636173844337463,1,1
recent,'.,1.2630003293355305,1.5835640827814739,3,1
recent, shown,1.2629767656326294,0.6414642333984375,1,1
middle, you,1.2302557229995728,0.6324700713157654,1,1
middle, can,1.2259767353534698,0.6889065802097321,2,1
middle, Shop,1.2245606439454215,0.7762945124081203,14,1
recent, Line,1.222997933626175,1.7226149141788483,4,1
middle,Source,1.2116791265351432,0.8571289735180991,7,1
middle, is,1.1996387839317322,3.3485751152038574,2,1
recent, section,1.1911737124125164,1.5409502933422725,3,1
recent,english,1.1882079124450684,1.4378140091896057,5,1
middle,9,1.1756458282470703,0.42450618743896484,1,1
middle,分为,1.164105772972107,0.7664332985877991,1,1
middle, B,1.1203509867191315,0.6627257615327835,2,1
middle, errors,1.1173656582832336,1.5615044037501018,3,1
middle,档,1.0863933563232422,0.5477566123008728,1,1
middle," "".""",1.054837942123413,0.4417072832584381,1,1
recent, theme,1.0546644926071167,1.1866609156131744,2,1
middle, feature,1.0525346000989277,1.4315463304519653,3,1
middle, kilometers,1.0504326820373535,0.5214627385139465,1,1
middle, tokens,0.9882686138153076,0.8121621608734131,1,1
middle,In,0.9820147241864886,0.5005548915692738,7,1
middle,1,0.9739136695861816,1.4185984134674072,1,1
middle, choose,0.9358658790588379,1.156781017780304,2,1
recent, Shop,0.9297615985075632,0.4446416099866231,3,1
middle, Collections,0.8810184001922607,1.113661527633667,1,1
middle, In,0.8604601422945658,0.9542722602685293,3,2
middle,根据,0.8008418083190918,0.5329622030258179,1,1
middle, pages,0.7633506953716278,0.4039885103702545,2,1
middle, sections,0.7523377537727356,0.7430360093712807,2,1
middle, G,0.7354729175567627,3.3996291160583496,1,1
middle, [,0.7296015024185181,0.30287668108940125,1,1
self, the,0.7286442179631974,1.5241887271404266,28,1
middle, setting,0.7119399905204773,2.8360915184020996,1,1
middle, If,0.5350935459136963,0.1808750033378601,1,1
middle,major,0.5299931764602661,0.23572352528572083,1,1
middle,多,0.34173640608787537,0.10034798085689545,1,1
edge,\n,0.21115368704444595,0.1291270893998444,28,1
edge, all,0.1233089511349265,0.11904384949178036,28,1
edge,<|turn>,0.05873841093271039,0.04089894749423755,140,5
edge, monuments,0.026601226655267447,0.027023797696788927,28,1
edge,be,0.0260740945564716,0.02349309139286301,28,1
edge, can,0.02405694837216288,0.05088738764503172,28,1
edge, Woh,0.019043130924858685,0.09863688381405414,28,1
edge, listed,0.01655398474706869,0.07214917883227047,28,1
edge," """,0.014163298216382307,0.012617128028068691,28,1
edge,机场,0.013756750294435603,0.01480990303597147,28,1
edge,Source,0.011537753521614442,0.013241414658425908,28,1
